id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
727832613571928027,Brooklyn,Bedford-Stuyvesant,40.67979,-73.92876,Entire home/apt,200.0,30.0,94.0,2023-12-03,2.59,1.0,93.0,0.0,
37023920,Manhattan,Stuyvesant Town,40.73313,-73.97678,Private room,840.0,30.0,0.0,,0.0,1.0,270.0,0.0,
753356086346283078,Bronx,Wakefield,40.89538,-73.84272,Entire home/apt,110.0,30.0,6.0,2025-07-27,0.2,2.0,266.0,1.0,
993514,Manhattan,Upper West Side,40.78566,-73.97271,Entire home/apt,240.0,30.0,15.0,2025-09-15,0.1,11.0,346.0,2.0,
50229441,Queens,Sunnyside,40.73856,-73.92431,Private room,45.0,30.0,9.0,2025-07-01,0.18,226.0,51.0,1.0,
1207958356004096911,Manhattan,Upper East Side,40.76668,-73.9596,Entire home/apt,206.0,30.0,0.0,,0.0,20.0,292.0,0.0,
1107782473273538350,Manhattan,Hell's Kitchen,40.76134,-73.99479,Private room,4000.0,30.0,0.0,,0.0,11.0,130.0,0.0,
1442231821208107146,Manhattan,Upper East Side,40.78052,-73.95323,Entire home/apt,170.0,30.0,0.0,,0.0,90.0,175.0,0.0,
722416737381606975,Manhattan,Upper West Side,40.78836,-73.96834,Entire home/apt,295.0,30.0,51.0,2025-04-27,1.4,9.0,365.0,1.0,
50654386,Brooklyn,Greenpoint,40.72100893442566,-73.94785369170653,Private room,205.0,3.0,151.0,2025-09-29,4.28,1.0,220.0,57.0,OSE-STRREG-0000342
838397208918790811,Manhattan,Midtown,40.7556,-73.98231,Hotel room,50000.0,1.0,0.0,,0.0,27.0,305.0,0.0,Exempt
44352853,Manhattan,Hell's Kitchen,40.75866,-73.99217,Entire home/apt,400.0,30.0,6.0,2024-10-20,0.16,13.0,88.0,1.0,Exempt
9156676,Brooklyn,Cypress Hills,40.68577,-73.87893,Entire home/apt,101.0,30.0,97.0,2023-09-30,0.8,3.0,334.0,0.0,
19563107,Manhattan,Murray Hill,40.74926,-73.97643,Entire home/apt,210.0,30.0,4.0,2021-10-09,0.04,83.0,365.0,0.0,
904537540621885048,Manhattan,Midtown,40.7559163,-73.9821398,Private room,355.0,1.0,0.0,,0.0,46.0,119.0,0.0,Exempt
1289901188619086090,Manhattan,East Village,40.7266128,-73.9876273,Entire home/apt,312.0,31.0,0.0,,0.0,1148.0,291.0,0.0,
255957,Manhattan,Nolita,40.72032,-73.99462,Entire home/apt,495.0,30.0,26.0,2024-06-01,0.15,2.0,305.0,0.0,
740405625762067517,Brooklyn,Bushwick,40.6899749,-73.92120600000001,Private room,150.0,30.0,56.0,2024-08-01,1.56,1.0,365.0,0.0,
25917853,Brooklyn,Prospect-Lefferts Gardens,40.66156,-73.95902,Entire home/apt,100.0,30.0,99.0,2025-09-22,1.12,1.0,328.0,6.0,
953082621778685235,Manhattan,Midtown,40.7563378,-73.98221699999999,Entire home/apt,3074.0,2.0,30.0,2025-09-04,1.33,9.0,318.0,20.0,Exempt
1326189425588302720,Brooklyn,Crown Heights,40.67261,-73.93904,Private room,123.0,1.0,6.0,2025-09-29,2.65,3.0,343.0,6.0,OSE-STRREG-0003181
675894671648952785,Queens,Long Island City,40.74994839999999,-73.94033139999999,Entire home/apt,339.0,60.0,0.0,,0.0,1148.0,94.0,0.0,
1184015830488997500,Manhattan,Lower East Side,40.7173363,-73.98630849999999,Entire home/apt,514.0,30.0,0.0,,0.0,1148.0,247.0,0.0,
707958114252508497,Queens,Arverne,40.59709,-73.79926,Private room,86.0,1.0,205.0,2025-09-13,5.54,1.0,331.0,63.0,OSE-STRREG-0001859
16269344,Brooklyn,Fort Greene,40.69306,-73.97153,Entire home/apt,181.0,30.0,8.0,2025-01-24,0.12,1.0,136.0,1.0,
54357934,Manhattan,Chelsea,40.74987,-73.99716,Entire home/apt,115.0,1.0,163.0,2025-09-08,3.66,36.0,37.0,31.0,Exempt
31121209,Brooklyn,East Flatbush,40.64149,-73.93961,Private room,41.0,30.0,175.0,2025-08-31,2.17,2.0,313.0,2.0,
22465327,Brooklyn,Bushwick,40.68837,-73.91453,Entire home/apt,259.0,30.0,26.0,2025-07-23,0.28,3.0,365.0,5.0,
1002823881758639223,Brooklyn,Fort Hamilton,40.61460042408073,-74.03510392925268,Private room,104.0,30.0,0.0,,0.0,2.0,269.0,0.0,
18718195,Manhattan,Roosevelt Island,40.76355,-73.94848,Private room,165.0,30.0,92.0,2023-11-17,0.9,1.0,160.0,0.0,
27299275,Queens,Flushing,40.74857,-73.82952,Entire home/apt,70.0,30.0,0.0,,0.0,8.0,101.0,0.0,
21010586,Manhattan,Greenwich Village,40.73275,-74.00005,Entire home/apt,189.0,30.0,37.0,2025-05-08,0.38,5.0,92.0,3.0,
1102299689722653894,Brooklyn,Williamsburg,40.70746354850246,-73.94561988769897,Private room,174.0,2.0,57.0,2025-09-20,3.05,1.0,239.0,28.0,OSE-STRREG-0001760
1086312344495922694,Manhattan,Lower East Side,40.717415486715645,-73.98862327796398,Private room,143.0,1.0,46.0,2025-09-16,2.74,5.0,230.0,33.0,Exempt
991623222460717625,Brooklyn,Bedford-Stuyvesant,40.68072854575765,-73.93601575015597,Entire home/apt,128.0,31.0,0.0,,0.0,2.0,151.0,0.0,
620578868328318638,Manhattan,Midtown,40.76277,-73.97539,Private room,3065.0,1.0,13.0,2025-01-01,0.32,4.0,350.0,1.0,Exempt
