id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1308280160792417594,City of Los Angeles,Downtown,34.03927,-118.24914,Entire home/apt,342.0,30.0,0.0,,0.0,1.0,107.0,0.0,HSR20-000955
1318497640769966436,Other Cities,Arcadia,34.1215989483824,-118.02854211814531,Private room,86.0,2.0,0.0,,0.0,2.0,111.0,0.0,
806757321546425919,Other Cities,Inglewood,33.97667027257474,-118.34478931210086,Entire home/apt,89.0,31.0,3.0,2024-10-25,0.1,5.0,364.0,1.0,
1440155213478023413,Other Cities,Beverly Hills,34.0627454,-118.3757326,Entire home/apt,576.0,30.0,5.0,2025-08-23,2.11,14.0,282.0,5.0,
7801269,Other Cities,Santa Monica,34.02628,-118.47938,Entire home/apt,145.0,30.0,18.0,2023-07-10,0.15,15.0,307.0,0.0,120816
1415337072396550294,Other Cities,Pasadena,34.14464857535539,-118.09956435505275,Entire home/apt,187.0,1.0,1.0,2025-08-18,1.0,3.0,260.0,1.0,
39300364,City of Los Angeles,Larchmont,34.08167,-118.31549,Entire home/apt,194.0,2.0,140.0,2025-08-23,2.33,1.0,310.0,24.0,HSR23-003028
4279381,City of Los Angeles,Studio City,34.14505,-118.37503,Entire home/apt,277.0,30.0,39.0,2020-01-30,0.35,24.0,365.0,0.0,
1321251702092313166,Other Cities,Alhambra,34.0914,-118.12112,Entire home/apt,171.0,1.0,8.0,2025-07-18,0.99,8.0,0.0,8.0,
1387064592456364191,Other Cities,West Hollywood,34.09203550871412,-118.34845886059702,Entire home/apt,173.0,3.0,13.0,2025-08-16,2.6,8.0,249.0,13.0,Exempt
22034890,Other Cities,Long Beach,33.77511,-118.18006,Entire home/apt,91.0,31.0,93.0,2024-08-27,1.01,2.0,90.0,0.0,
1202861410985417785,City of Los Angeles,Sherman Oaks,34.15051464411678,-118.45296880404608,Private room,50.0,30.0,2.0,2025-05-02,0.2,2.0,244.0,2.0,Exempt - This listing is a bed and breakfast
1485981694167680808,City of Los Angeles,Mid-City,34.03912638799624,-118.35544612188407,Shared room,8.0,30.0,0.0,,0.0,168.0,179.0,0.0,
587895318292521620,Other Cities,Gardena,33.89017,-118.31538,Entire home/apt,236.0,8.0,15.0,2025-05-13,0.37,1.0,18.0,1.0,
1095113502833712211,Other Cities,West Hollywood,34.09072116148856,-118.378121628201,Entire home/apt,172.0,30.0,0.0,,0.0,24.0,218.0,0.0,
1466045952329223250,City of Los Angeles,Larchmont,34.08181,-118.31938,Entire home/apt,165.0,30.0,0.0,,0.0,2.0,335.0,0.0,Exempt - This listing is a bed and breakfast
1041990924001242226,City of Los Angeles,Hollywood Hills,34.11173,-118.34225,Entire home/apt,1266.0,31.0,7.0,2025-07-14,0.65,114.0,265.0,7.0,HSR24-001634
1421177861172738163,City of Los Angeles,Hollywood Hills West,34.09567,-118.38267,Entire home/apt,1915.0,3.0,2.0,2025-07-16,1.2,9.0,329.0,2.0,HSR25-001698
1452384592364077589,City of Los Angeles,Valley Glen,34.1775,-118.42547,Entire home/apt,624.0,30.0,0.0,,0.0,24.0,365.0,0.0,
1163888010014755750,Other Cities,Santa Monica,34.00841,-118.49152,Entire home/apt,1004.0,30.0,0.0,,0.0,136.0,363.0,0.0,
40784353,City of Los Angeles,Brentwood,34.08383,-118.50263,Entire home/apt,5500.0,30.0,1.0,2020-08-16,0.02,2.0,358.0,0.0,HSR20-001529
821105100973434196,Other Cities,Torrance,33.834774881325906,-118.32249211904907,Entire home/apt,176.0,4.0,49.0,2025-08-31,1.64,1.0,194.0,15.0,
31086285,City of Los Angeles,Playa del Rey,33.9534,-118.43881,Entire home/apt,249.0,30.0,75.0,2025-06-14,0.97,1.0,307.0,3.0,HSR19-004208
1321287406231699189,Other Cities,Whittier,33.975,-118.05179,Private room,108.0,3.0,0.0,,0.0,1.0,364.0,0.0,
16686997,Other Cities,Hawthorne,33.91502,-118.37681,Private room,71.0,30.0,20.0,2024-07-27,0.19,4.0,178.0,0.0,
640584749413447378,Unincorporated Areas,Marina del Rey,33.976252517452416,-118.45301634232787,Entire home/apt,295.0,2.0,164.0,2025-08-24,4.18,4.0,229.0,50.0,
48145799,Other Cities,West Hollywood,34.08816,-118.35481,Private room,108.0,1.0,124.0,2025-08-29,2.33,7.0,238.0,26.0,STR21-0003
948026270399727916,Other Cities,Santa Clarita,34.37113,-118.55057,Private room,78.0,1.0,101.0,2025-08-24,3.99,4.0,363.0,65.0,
1319872572212287235,City of Los Angeles,Winnetka,34.20146,-118.57391,Private room,51.0,30.0,0.0,,0.0,1.0,90.0,0.0,HSR19-202113
1184470879831245238,City of Los Angeles,East Hollywood,34.08066,-118.30675,Private room,56.0,30.0,0.0,,0.0,2.0,365.0,0.0,Exempt - This listing is a transient occupancy residential structure
876819109988978904,City of Los Angeles,Beverly Grove,34.08147610179434,-118.36667589866501,Entire home/apt,1647.0,31.0,0.0,,0.0,20.0,365.0,0.0,
1006944973093641883,Unincorporated Areas,Ladera Heights,33.98410169240798,-118.3695971828363,Entire home/apt,239.0,31.0,31.0,2024-10-28,1.38,12.0,130.0,5.0,
1455326067554284710,City of Los Angeles,Hollywood Hills West,34.10057,-118.37496,Entire home/apt,322.0,30.0,1.0,2025-08-19,1.0,1.0,35.0,1.0,
1034386051051043210,Other Cities,Alhambra,34.0780432899172,-118.12101404616027,Entire home/apt,144.0,1.0,92.0,2025-08-16,4.33,6.0,149.0,48.0,
871505605877448401,City of Los Angeles,Hollywood,34.10085513217488,-118.3453130227245,Entire home/apt,211.0,30.0,1.0,2023-10-28,0.04,1.0,362.0,0.0,
18332942,Other Cities,El Monte,34.05427,-118.01423,Private room,56.0,1.0,433.0,2025-08-10,4.49,3.0,353.0,65.0,
47013727,City of Los Angeles,Hollywood,34.09806,-118.35072,Entire home/apt,80.0,31.0,12.0,2024-07-22,0.22,51.0,365.0,0.0,
1440828724393704656,Other Cities,Beverly Hills,34.06209,-118.37454,Entire home/apt,145.0,2.0,1.0,2025-07-18,0.63,4.0,327.0,1.0,
620319687782694740,City of Los Angeles,Brentwood,34.08105,-118.50474,Entire home/apt,600.0,31.0,0.0,,0.0,1.0,263.0,0.0,
12158610,City of Los Angeles,Fairfax,34.0705,-118.34572,Entire home/apt,91.0,30.0,274.0,2024-07-02,2.42,1.0,59.0,0.0,
1122621189224765391,Unincorporated Areas,Marina del Rey,33.97498,-118.45844,Entire home/apt,113.0,2.0,37.0,2025-08-05,2.18,8.0,334.0,28.0,
49403532,City of Los Angeles,Hollywood,34.10063,-118.35706,Entire home/apt,588.0,6.0,14.0,2025-05-10,0.27,1.0,154.0,4.0,HSR22-002293
45040905,Unincorporated Areas,Del Aire,33.91424,-118.36216,Entire home/apt,248.0,2.0,192.0,2025-06-27,3.16,11.0,171.0,29.0,
862374618036051855,City of Los Angeles,Westlake,34.05289,-118.26265,Entire home/apt,165.0,30.0,8.0,2025-08-06,0.29,52.0,274.0,3.0,
