city,model,feature_index,importance
LA,RandomForest,0,0.052755975026465174
LA,RandomForest,1,0.04350268738418235
LA,RandomForest,2,0.06614973801968702
LA,RandomForest,3,0.053364344154800764
LA,RandomForest,4,0.07800652106562588
LA,RandomForest,5,0.027455894883481546
LA,RandomForest,6,0.06265828873253866
LA,RandomForest,7,0.13599794637277057
LA,RandomForest,8,0.14402722642560345
LA,RandomForest,9,0.1625366040170789
LA,RandomForest,10,0.09577971907317924
LA,RandomForest,11,0.03433311014183636
LA,RandomForest,12,0.023067416678883297
LA,RandomForest,13,0.010304104677796662
LA,RandomForest,14,0.00796257673496285
LA,RandomForest,15,0.0
LA,RandomForest,16,0.0
LA,RandomForest,17,0.0
LA,RandomForest,18,0.0020978466111073375
LA,RandomForest,19,0.0
LA,RandomForest,20,0.0
LA,GBT,0,0.12584803517187498
LA,GBT,1,0.05833480252542946
LA,GBT,2,0.0898299132495807
LA,GBT,3,0.06574005311585347
LA,GBT,4,0.1541598001569838
LA,GBT,5,0.04958748715302657
LA,GBT,6,0.07029688737175566
LA,GBT,7,0.14707120260545684
LA,GBT,8,0.1406296963704082
LA,GBT,9,0.06231006499372931
LA,GBT,10,0.0030859264224169605
LA,GBT,11,0.003008451709683291
LA,GBT,12,0.0
LA,GBT,13,0.028337479836670967
LA,GBT,14,0.0
LA,GBT,15,0.0
LA,GBT,16,0.0
LA,GBT,17,0.0
LA,GBT,18,0.0017601993171299198
LA,GBT,19,0.0
LA,GBT,20,0.0
NY,RandomForest,0,0.08049613946097747
NY,RandomForest,1,0.04216381088495003
NY,RandomForest,2,0.045931481184927014
NY,RandomForest,3,0.07540884804854127
NY,RandomForest,4,0.07918746261586534
NY,RandomForest,5,0.028097560659905037
NY,RandomForest,6,0.1708113278743065
NY,RandomForest,7,0.06678849491739788
NY,RandomForest,8,0.12117419279683445
NY,RandomForest,9,0.06347465666292743
NY,RandomForest,10,0.04432017905704796
NY,RandomForest,11,0.00247585129575811
NY,RandomForest,12,0.11902146289181538
NY,RandomForest,13,0.0
NY,RandomForest,14,0.0
NY,RandomForest,15,0.04320458635782505
NY,RandomForest,16,0.008754981506145244
NY,RandomForest,17,0.003381985836513818
NY,RandomForest,18,0.0
NY,RandomForest,19,0.0017011038243021864
NY,RandomForest,20,0.0036058741239597724
NY,GBT,0,0.06543442880395664
NY,GBT,1,0.11344833197814085
NY,GBT,2,0.038638098573574975
NY,GBT,3,0.12650000451485205
NY,GBT,4,0.14078733899337925
NY,GBT,5,0.04059038570214338
NY,GBT,6,0.18501554860481717
NY,GBT,7,0.08552131651062807
NY,GBT,8,0.09632889230718085
NY,GBT,9,0.022267562452285578
NY,GBT,10,0.01553560727897132
NY,GBT,11,0.01876626199073584
NY,GBT,12,0.037439645188036635
NY,GBT,13,0.0
NY,GBT,14,0.0
NY,GBT,15,0.007416135049462675
NY,GBT,16,4.923965701141221E-4
NY,GBT,17,0.0
NY,GBT,18,0.0
NY,GBT,19,2.719334587203929E-4
NY,GBT,20,0.005546112023000292
